时间,模型,积分消耗,当前余额积分
03-03 23:55:17,img-chatgpt-4o-latest,1000,83764
03-03 23:55:17,chatgpt-4o-latest,464,84228
03-03 23:32:01,gpt-4o-mini,4,84232
03-03 23:31:33,deepseek-v3,19,84251
03-03 23:30:15,deepseek-v3,18,84269
03-03 23:22:31,gpt-4o-mini,20,84289
03-03 23:22:22,gpt-4o-mini,83,84372
03-03 22:54:48,chatgpt-4o-latest,963,85335
03-03 22:51:02,chatgpt-4o-latest,1433,86768
03-03 22:47:43,chatgpt-4o-latest,21,86789
03-03 22:46:53,gpt-4o-mini,1,86790
03-03 22:22:21,gpt-4o-mini,3,86793
03-03 22:21:56,deepseek-v3,17,86810
03-03 21:42:45,gpt-4o-mini,1,86811
03-03 21:23:41,gpt-4o-mini,10,86821
03-03 21:22:07,deepseek-v3,66,86887
03-03 20:25:34,deepseek-r1,119,87006
03-03 20:25:09,gpt-4o-mini,2,87008
03-03 20:24:45,deepseek-v3,26,87034
03-03 19:24:22,deepseek-r1,146,87180
03-03 19:24:03,claude-3-haiku-20240307,37,87217
03-03 19:23:59,gpt-4o-mini,4,87221
03-03 19:23:55,claude-3-haiku-20240307,17,87238
03-03 19:23:06,gpt-4o-mini,3,87241
03-03 19:18:52,gemini-1.5-pro,79,87320
03-03 19:18:48,gpt-4o-mini,1,87321
03-03 19:18:42,deepseek-r1,8,87329
03-03 19:17:41,gpt-4o-mini,9,87338
03-03 19:16:12,gpt-4o-mini,3,87341
03-03 19:15:49,deepseek-v3,32,87373
03-03 18:46:51,gpt-4o-mini,2,87375
03-03 18:46:48,gpt-4o-mini,16,87391
03-03 18:45:10,claude-3-opus-20240229,597,87988
03-03 18:44:58,o1-mini,168,88156
03-03 18:44:48,gpt-4o-mini,4,88160
03-03 18:44:35,gpt-4o-mini,1,88161
03-03 18:39:13,gpt-4o-mini,4,88165
03-03 18:37:23,gpt-4o-mini,3,88168
03-03 18:37:20,gpt-4o-mini,16,88184
03-03 18:26:22,gpt-4o-mini,1,88185
03-03 17:37:08,deepseek-v3,13,88198
03-03 17:35:22,gpt-4o-mini,3,88201
03-03 17:35:14,deepseek-v3,7,88208
03-03 17:21:45,deepseek-v3,69,88277
03-03 17:20:09,deepseek-v3,52,88329
03-03 16:31:42,gpt-4o-mini,1,88330
03-03 16:28:23,gpt-4o-mini,1,88331
03-03 16:12:11,gpt-4o-mini,1,88332
03-03 16:09:31,deepseek-r1,2,88334
03-03 16:10:19,deepseek-r1,2,88336
03-03 16:10:04,gpt-4o-mini,1,88337
03-03 15:51:17,gpt-4o-mini,10,88347
03-03 15:50:56,deepseek-r1,144,88491
03-03 14:34:47,gpt-4o-mini,5,88496
03-03 14:34:05,deepseek-r1,93,88589
03-02 22:37:36,gpt-4o-mini,3,88592
03-02 22:37:26,deepseek-v3,21,88613
03-02 21:26:38,gpt-4o-mini,6,88619
